;id;Landkreis;Einwohner_pro_qkm;Bevölkerung;anteil_bevölkerung_0_bis_44;arbeitslosenqoute;pkw_bestand_je_tsd_einwohner;bip_je_erwerbstätigen;krankenhausbetten_je_tsd_einwohner
158;7311;Frankenthal (Pfalz), kreisfreie Stadt;1111;48762;0.491;0.067;549.0;70404.0;6.5
159;7312;Kaiserslautern, kreisfreie Stadt;716;100030;0.533;0.086;490.1;67337.0;11.7
160;7313;Landau in der Pfalz, kreisfreie Stadt;565;46881;0.529;0.047;583.6;59997.0;18.3
161;7314;Ludwigshafen am Rhein, kreisfreie Stadt;2225;172253;0.5389999999999999;0.081;480.6;112656.0;12.2
162;7315;Mainz, kreisfreie Stadt;2237;218578;0.5820000000000001;0.053;457.8;76163.0;10.4
163;7316;Neustadt an der Weinstraße, kreisfreie Stadt;455;53264;0.4499999999999999;0.051;611.0;58450.0;6.8
164;7317;Pirmasens, kreisfreie Stadt;656;40231;0.44699999999999995;0.107;563.0;56371.0;11.1
165;7318;Speyer, kreisfreie Stadt;1184;50561;0.469;0.057;576.8;66211.0;12.8
166;7319;Worms, kreisfreie Stadt;768;83542;0.511;0.066;544.4;69669.0;8.4
167;7320;Zweibrücken, kreisfreie Stadt;484;34193;0.48;0.059;609.1;73479.0;6.326932668329178
168;7331;Alzey-Worms;221;129687;0.47499999999999987;0.036;648.8;68912.0;4.6
169;7332;Bad Dürkheim;223;132671;0.43;0.035;674.5;63695.0;3.8
170;7333;Donnersbergkreis;117;75325;0.4559999999999999;0.046;655.8;73567.0;2.7
171;7334;Germersheim;278;129013;0.488;0.038;634.2;79460.0;2.5
172;7335;Kaiserslautern;166;105979;0.471;0.048;638.3;63927.0;5.0
173;7336;Kusel;122;70219;0.435;0.042;667.5;61585.0;6.326932668329178
174;7337;Südliche Weinstraße;173;110521;0.441;0.035;686.1;63366.0;6.4
175;7338;Rhein-Pfalz-Kreis;507;154609;0.4599999999999999;0.034;653.1;63989.0;6.326932668329178
176;7339;Mainz-Bingen;349;211417;0.469;0.034;658.9;92270.0;1.6
177;7340;Südwestpfalz;99;94831;0.413;0.037;698.6;65134.0;2.2
178;8111;Stuttgart, Stadtkreis;3067;635911;0.5680000000000001;0.0409999999999999;475.4;101246.0;7.9
179;8115;Böblingen;636;392807;0.513;0.0279999999999999;646.0;109283.0;2.8
180;8116;Esslingen;834;535024;0.5039999999999999;0.032;617.6;78441.0;3.6
181;8117;Göppingen;402;258145;0.487;0.035;636.6;70280.0;4.9
182;8118;Ludwigsburg;794;545423;0.511;0.0279999999999999;605.7;94114.0;3.2
183;8119;Rems-Murr-Kreis;498;427248;0.489;0.031;614.9;71952.0;3.1
184;8121;Heilbronn, Stadtkreis;1267;126592;0.543;0.047;529.6;67808.0;8.2
185;8125;Heilbronn;313;344456;0.505;0.0279999999999999;703.8;95681.0;3.6
186;8126;Hohenlohekreis;145;112655;0.501;0.024;732.0;76662.0;2.5
187;8127;Schwäbisch Hall;133;196761;0.508;0.027;648.0;70627.0;3.8
188;8128;Main-Tauber-Kreis;102;132399;0.46799999999999986;0.026;666.3;65393.0;7.8
189;8135;Heidenheim;212;132777;0.49;0.038;622.7;72161.0;4.1
